Word,Count
করবেন,73
তালি,73
তরে,73
তোমারে,73
কলেজের,73
নির্মাণ,73
এইতা,73
জেনারেল,73
পরিচালক,73
দিক,73
সিলেট,72
পরিমাণ,72
ক।,72
দায়ের,72
আবদুর,72
কয়েকজন,72
সদস্যরা,72
উল্লেখ,72
ঢাকার,72
নামাজ,72
মাথা,72
শিকার,72
সম্মেলনে,72
দিনের,72
নিজেদের,72
ত,72
সন্ধ্যায়,71
সহযোগিতা,71
কাজের,71
ভুল,71
মিনিট,71
পরিবার,71
বাদী,71
হন,71
অউ,70
সহকারী,70
বেগম,70
উন্নয়ন,70
কুমার,70
ভালো।,70
বাবার,70
রাজনৈতিক,70
পারিবারিক,70
গভীর,70
একশো,70
কার্যক্রম,70
পারি,70
অন্যান্য,70
মালিক,69
অনেকে,69
ম্যাচে,69
কি।,69
ক্যান,69
কার,69
চইলে,69
"দে,",69
"খরদে,",69
ফারি,69
তুমারে,68
মেয়র,68
দেখি,68
কষ্ট,68
ঘর,68
সাত,68
প্রদান,68
নেতৃত্বে,68
ওরা,68
সভাপতিত্বে,68
কল,68
আল্লাহ,68
কিলা,68
হঠাৎ,68
আছি,68
কয়ডা,68
সিনিয়র,67
আচ্ছা,67
কচ্ছি,67
আগেই,67
বুলে,67
গা,67
খোনো,67
যাচ্ছে।,67
পুরস্কার,67
নিজে,67
সাংবাদিকদের,67
সকাল,67
যেমন,67
হামলার,67
এও,66
জড়িত,66
তাইন,66
ভাগ,66
আইজ,66
ফেলে,66
ধারণা,66
হয়তো,66
দিছে।,66
কয়দিন,66
দোয়া,66
আয়,66
তেল,66
দুইডা,66
কবরস্থানে,66
গেছি,65
সৌদি,65
এমনকি,65
আসতে,65
বিদ্যালয়ের,65
চালায়।,65
সড়ক,65
মাত্র,65
দলীয়,65
খইরদি,65
মার্কিন,65
বাসাত,65
পছন্দ,65
দিলি,64
বৃষ্টি,64
কেন্দ্র,64
খায়,64
হোসেনের,64
ওউ,64
ইয়্যান,64
হেরা,64
বিদ্যুৎ,64
ক্যা?,64
বাদে,64
ইউপি,64
হলো,64
খরচ,63
হয়েছিল।,63
আসার,63
অলো,63
অতিথির,63
যোগ,63
আরেকটা,63
টাইম,63
লিখিত,63
বক্তব্যে,63
পায়,63
নেই,63
জানাজা,63
আইছে,63
নিচে,63
তারফর,63
ওগে,63
অনেকেই,63
রেকর্ড,63
ফরে।,62
পরিচয়,62
এইল্লা,62
লাইন,62
মূল,62
জামা,62
আইন,62
দিছি।,62
চাই।,62
সাহায্য,62
ব্যবসায়ী,62
খরি,62
পরিষদের,62
টা,62
হয়েছেন।,62
"হুম,",62
প্রসঙ্গে,61
জানিয়েছেন,61
উনি,61
রয়েছেন।,61
মারধর,61
ভূমিকা,61
ভাষা,61
রান্না,61
ভোট,61
ইতি,61
যাইয়া,61
আব্বা,61
মধ্য,61
জামাই,61
মারে,61
বৈঠকে,60
থিকা,60
একে,60
কমপ্লেক্সে,60
চিকিৎসক,60
তিনটি,60
ঘটনাটি,60
সাড়ে,60
"ভাই,",60
বিশ্বের,60
অইছে।,60
অইবো,60
করছি,60
"বলেছেন,",60
ছড়িয়ে,60
হইছে।,60
কারেন্ট,60
বিক্ষোভ,60
এরই,60
খাইয়া,59
সময়ের,59
ইয়ে,59
চাপ,59
চলাচল,59
গেলো,59
তোমরা,59
পাওয়ার,59
সিটি,59
হুমকি,59
সূত্র,59
কইছে,59
কর্তৃপক্ষ,59
প্রথমে,59
অবৈধ,58
নেন।,58
বেডা,58
জঙ্গি,58
প্রতিষ্ঠান,58
নামের,58
বিচারপতি,58
এন্নে,58
আমাক,58
হাসপাতালের,58
ফুটবল,58
তোরা,58
আমিও,58
বাপ,58
এরি।,58
মডেল,58
ইচ্ছা,58
পরিবেশ,58
বিশ্ববিদ্যালয়,58
করেছি।,57
এজন্য,57
নাম্বার,57
কইলাম,57
"হচ্ছে,",57
বসে,57
ভাবে,57
দিয়েছে,57
সংক্রান্ত,57
বাংলা,57
রাজি,57
খাই,57
চরম,57
ছাত্রলীগের,56
বেলা,56
উচ্চ,56
অবে।,56
বলেও,56
করতি,56
প্রেস,56
ইসলামের,56
পান,56
কর্মসূচি,56
নেয়।,56
মার,56
অ্যাঁ,56
কিচ্ছু,56
হইলে,56
যেহেতু,56
সংসদ,56
খালেদা,56
বলে।,56
পড়েছে।,56
হ।,56
লাইজ্ঞা,55
"ও,",55
সভা,55
আদেশ,55
এদের,55
হেব্বি,55
নিহতের,55
কঠিন,55
ফুয়া,55
অসুস্থ,55
বিপক্ষে,55
আইসে,55
বিশাল,55
মাসের,55
এইটা,55
যত,55
বল,55
থাহে,55
গঠন,55
অপর,55
মাথায়,55
কেমনে,55
লাগবে।,55
যাইবো,55
শত,55
প্রতিদিন,54
পার্টির,54
কইয়া,54
অইয়্যে,54
অ্যাডভোকেট,54
আছিলো,54
ছেলো,54
মুখে,54
আইচ্চা,54
সবাইকে,54
একপর্যায়ে,53
সত্যি,53
কুনো,53
কোচ,53
চালু,53
সমাবেশ,53
লাইগা,53
কোটি,53
আক্তার,53
আহমেদ,53
তারার,53
গল্প,53
যাবো,53
দি।,53
দোকান,53
ভেতরে,53
সবুজ,53
একখান,53
এইল্লে,53
মাটি,53
এলাকাবাসী,53
বাজে,53
এক্কানা,53
শিক্ষার্থীদের,53
যায়া,52
ইসলাম।,52
প্রশাসনের,52
ওইডা,52
অথচ,52
সূত্রে,52
রাজনীতি,52
নির্বাচিত,52
স্কুলের,52
ক্ষতি,52
মুখ,52
হোসেন।,52
থাকবে,52
সুবিধা,52
শহীদ,52
লক্ষ্য,52
ব্যাংক,52
সামনের,52
পানিতে,52
বেয়াকগুন,52
গরুর,52
উদ্যোগ,52
ফায়ার,52
পার,52
প্রশ্ন,52
পরের,52
এরম,52
আইনজীবী,52
নদীর,52
কিংবা,52
মিছিল,52
কার্যালয়ে,52
অন্যতম,52
ভারত,51
?,51
"হ্যাঁ,",51
বেয়াকগুনে,51
দিছি,51
হ্যাঁ?,51
ফর,51
মন্ত্রী,51
জীবনে,51
ভয়,51
করবেন।,51
শেষ।,51
প্রস্তুতি,51
পরবর্তী,51
হেইডা,51
সচিব,51
দরজা,51
শান্তি,51
মাইয়াফোয়া,51
হোক,51
"হবে,",51
কাউকে,51
মোটামুটি,51
বিল,51
রাখার,50
রাজধানীর,50
দেই।,50
আয়োজিত,50
ওষুধ,50
গোল,50
লেখা,50
দে?,50
তাতে,50
রাইত,50
ইডা,50
টেকা,50
প্রতিবাদ,50
ইতিমধ্যে,50
প্রবেশ,50
অন্যদিকে,50
যা।,50
নির্যাতন,50
সেটি,50
সদস্যদের,50
যাইতে,50
নির্বাচনের,50
সংসার,50
চুরি,50
টেস্ট,50
লাগে?,50
অস্ত্র,50
রক্ষা,50
রহমানের,49
আমি।,49
কেটে,49
জন্ম,49
সম্মেলন,49
বাজারের,49
নদী,49
একনা,49
গরে,49
উপর,49
ইতারার,49
আহ্বান,49
ক?,49
দেছে,49
সহায়তা,49
বিতরণ,49
দেও,49
অব্যাহত,49
হইসে,49
আরকি,49
নেতাকর্মীদের,49
আজকে,49
ইকটু,49
অবশ্যই,49
খুশি,48
ধর্ষণের,48
হয়া,48
হত্যার,48
দিনে,48
দলে,48
মর্গে,48
ভাইয়ের,48
মূলত,48
অনুষ্ঠান,48
তারে,48
রংপুর,48
বহুত,48
আঞ্চলিক,48
মাইনষের,48
"করি,",48
উন্নত,48
গ্রাম,48
পানির,48
পরিষদ,48
ছাত্র,48
প্রতিষ্ঠানের,48
খই,48
পদক্ষেপ,48
এলে,48
ঘুরে,48
যে।,48
নে,48
মহানগর,48
বাধ্য,48
জন,48
ওটে,48
সুমা,48
প্রধানমন্ত্রীর,48
আছিলো।,48
পরিণত,48
শিক্ষার্থীরা,47
মামা,47
দেরি,47
রোহিঙ্গা,47
মিষ্টি,47
সুমায়,47
নগরীর,47
ভাল্লাগে,47
অব,47
গ্যাস,47
বইন,47
কথা।,47
যেসব,47
শাহ,47
মহিলা,47
"আচ্ছা,",47
বাহিনীর,47
অংশগ্রহণ,47
যদিও,47
গো,47
কারও,47
নিয়ন্ত্রণে,47
আট,47
হয়েছেন,47
রোজা,46
থুন,46
জয়,46
চলছে,46
যাই।,46
জানিয়ে,46
বিডিও,46
দয়া,46
দেই,46
দুইটা,46
মুক্তিযোদ্ধা,46
আলু,46
ফাই,46
লাগবে,46
তুলতে,46
খয়দে,46
সাই,46
সুপার,46
ক্রীড়া,46
পারেন।,46
ঘটনাস্থল,46
বিভাগ,46
পড়া,46
প্রতিবেদন,46
ঝামেলা,46
অনুমোদন,46
যেত্তে,46
দেবে,46
হইল,46
বাস,46
সেরা,46
জানো?,46
মাল,46
উঠে,45
শুনানি,45
একবারে,45
সম্পন্ন,45
মাইনষে,45
হাজির,45
মানববন্ধন,45
লাগবো।,45
রকম,45
রাস্তার,45
সর্বোচ্চ,45
ভালোবাসা,45
দিতাম,45
এমনে,45
ড্যা,45
কও,45
জনগণের,45
ভারতীয়,45
প্রকল্প,45
চাল,45
মন্ত্রণালয়ের,45
তৃতীয়,45
অইবো।,45
কা,45
বিচারক,45
কখনও,45
ব্যক্তি,45
স্থান,45
"হয়েছে,",44
একমাত্র,44
করলেও,44
গাছের,44
"আইচ্ছা,",44
শিশুর,44
কর্মকর্তাদের,44
মধ্যি,44
কাজী,44
মৃত্যুর,44
দিয়্যে,44
আনতে,44
ছুটি,44
শিক্ষার্থী,44
জানিয়েছেন।,44
শ্রেণীর,44
বিয়ার,44
ফল,44
প্রস্তাব,44
নির্দেশনা,44
নিয়োগ,44
উদ্যোগে,44
প্রশাসক,44
আগে।,44
কান,44
দেশটির,44
প্রয়োজন,44
হলেন,44
সন্ত্রাসী,44
কর্মকর্তারা,44
রহমান।,44
তেমন,44
গুরুত্বপূর্ণ,44
চুল,44
উভয়,44
ক্লাব,44
যাইয়েনে,44
বিদ্যালয়,44
ক্লাবের,44
উচিত,44
প্রমুখ।,44
পরিদর্শন,44
মদ্যে,44
যুক্তরাষ্ট্রের,44
জরুরি,43
ওয়ান,43
রোহিঙ্গাদের,43
ফরি,43
ঈদ,43
থাকলেও,43
আইছে।,43
এম,43
খয়,43
রইছে,43
মন্ত্রণালয়,43
যাবার,43
থুইয়া,43
কমে,43
নিয়মিত,43
"করেন,",43
কৃষি,43
পড়তে,43
নিজেকে,43
বাড়ি।,43
মতো।,43
কেন,43
উচিত।,43
পরীক্ষার,43
সামাজিক,43
সমাবেশে,43
দিয়ে।,43
সেবা,43
বাফ,43
হয়?,43
ক্ষতিগ্রস্ত,43
"কি,",43
দুইদিন,43
মানুষ।,43
ম্যালা,43
টাকা।,43
অফিসার,43
গ্রুপের,43
প্রতিটি,43
আহ্বায়ক,43
সংগঠনের,43
পদে,43
কালকে,42
ইতেরে,42
যাও,42
ডাক,42
এছাড়াও,42
এডার,42
গোপন,42
"কয়,",42
পাশের,42
আঘাত,42
সপ্তাহে,42
ভারি,42
কামাল,42
দাবিতে,42
ছাড়াও,42
ঋণ,42
মুবাইল,42
অভিযুক্ত,42
দূর,42
শুনে,42
ভালোই,42
শ্রমিক,42
এত্তে,42
দিবো,42
বঙ্গবন্ধু,42
একা,42
মাহমুদ,42
আসছে।,42
পারেন,42
ঘন্টা,42
মিথ্যা,42
ভারপ্রাপ্ত,42
বিদ্যালয়ে,42
মইদ্যে,42
আম্মা,42
অফিস,42
যাইরাম,42
উঠেছে।,42
সরকার।,41
দেখছি,41
তালা,41
খেলতে,41
বাজি,41
টানা,41
গোলাম,41
আনন্দ,41
আবারও,41
বাস্তবায়ন,41
দেও।,41
এহনে,41
পাই,41
সঠিক,41
মাঠ,41
খুঁজে,41
নিয়েই,41
আহমদ,41
আজিয়ে,41
বোন,41
এসেছে।,41
পৌঁছে,41
আরকি।,41
বাসা,41
থাকবে।,41
অনুমতি,41
জানিয়েছে,41
নাস্তা,41
রাস্তায়,41
একদম,41
খাদ্য,41
মানুষকে,41
এমপি,41
কিনিয়া,41
সড়কের,41
কম।,41
অইতো,41
অইলদি,41
জাহাঙ্গীর,41
অভিযোগে,41
পরিকল্পনা,41
আছি।,41
সমাধান,41
আয়া,41
প্রয়োজনীয়,41
নিখোঁজ,41
হাই,40
মিলে,40
পারবে,40
বারো,40
বাই,40
দেইখা,40
ভিত্তিতে,40
গরির,40
বৈঠক,40
চূড়ান্ত,40
ফেরত,40
তিরিশ,40
সবজি,40
ফরেদা,40
দেছে।,40
মিয়া।,40
অবস্থার,40
দেহে,40
উপহার,40
ফারে,40
ওয়,40
স্কুলে,40
নিয়ম,40
বক্তারা,40
রাতেই,40
আত্মহত্যা,40
খইরদে,40
মোরে,40
বাতাস,40
পাকিস্তানের,40
গেছেন।,40
একড্যা,40
পেছনে,40
শব্দ,40
বুঝতে,40
আছিল।,39
মুখোমুখি,39
পড়ার,39
কিরে,39
কবে,39
আশপাশের,39
রমজান,39
দেড়,39
দুইশো,39
টিক,39
চিঠি,39
তীব্র,39
নিজেই,39
কিছুটা,39
নেন,39
মসজিদ,39
"করে,",39
"অ,",39
প্রভাব,39
পণ্য,39
দ্যাহা,39
হলুদ,39
মাসুদ,39
এমনি,39
অধিকার,39
জমিদার,39
আইনে,39
"এই,",39
সুপারিশ,39
সৈয়দ,39
টিকিট,39
বেতন,39
সংখ্যা,39
বার,39
নজরুল,39
হলি,39
সতর্ক,39
এভাবে,39
কয়েকদিন,39
জাল,39
দখল,39
দুধ,39
ইয়ার,39
চলতি,39
খাওয়ার,39
করেই,39
আসি,39
জন্যি,39
ঘটেছে,39
গোয়েন্দা,39
সাদা,38
বিস্তারিত,38
দেবে।,38
কারে,38
কাঁচা,38
জড়িয়ে,38
বেয়াক,38
আইনশৃংখলা,38
করা।,38
তুঁই,38
সেখান,38
করে?,38
চান,38
"ওহ,",38
জারি,38
আহতদের,38
এবারের,38
মধ্যেই,38
খান।,38
নেই?,38
দেখিয়ে,38
পুলিশকে,38
অনুষ্ঠানের,38
অত্যন্ত,38
নিয়ন্ত্রণ,38
ছেলো।,38
দীর্ঘ,38
রাজশাহী,38
দিবার,38
এইডার,38
করব।,38
কাল,38
কালাম,38
পরিবর্তন,38
ফোনে,38
কারণেই,38
খোঁজ,38
এখনা,38
ব্যয়,38
আল্লাহর,38
মায়ের,38
বিজ্ঞপ্তিতে,38
সাংবাদিক,38
করিম,38
সংস্থা,38
লাই।,38
নূর,37
দুর্ঘটনা,37
মালামাল,37
দেওয়া,37
ভাষায়,37
কামনা,37
পেরে,37
নেমে,37
বসবাস,37
চিকিৎসার,37
ম্যাজিস্ট্রেট,37
কিছুদিন,37
ছাত্রলীগ,37
খাতি,37
কর্মী,37
সন্তান,37
কমিশন,37
প্রশ্নের,37
গ্রামে।,37
গায়ে,37
সময়,37
এগুলো,37
খোলা,37
অধিনায়ক,37
মুক্তি,37
যেডা,37
জাগাত,37
জোর,37
চালানো,37
চাষ,37
দেখার,37
প্রফেসর,37
ট্রাম্প,37
আদায়,37
সমিতির,37
পরিবহন,37
কয়।,37
পয়েন্ট,37
ইট্টু,37
নেতাদের,37
গাড়ির,37
গুরুত্ব,37
কর্তব্যরত,37
যাতি,37
অপেক্ষা,37
গিয়্যে,37
রাগ,36
মনের,36
পরও,36
সড়কে,36
পেতে,36
এগুলা,36
মাছের,36
এন,36
রাইতে,36
বাবু,36
চালায়,36
